#23456123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCDE123456789A123456789A1234567891234
 7789 C2HO+        GRAIN-       CO           CH           GRAIN0                      3.14E-10  4.10E+01  2.00E-01  23
 7790 C2HX+        GRAIN-       CX           CH           GRAIN0                      3.14E-10  4.10E+01  2.00E-01  23
 7791 C2HO+        GRAIN-       C2H          O            GRAIN0                      3.14E-10  4.10E+01  3.00E-01  23
 7792 C2HX+        GRAIN-       C2H          X            GRAIN0                      3.14E-10  4.10E+01  3.00E-01  23
 7793 C2HO+        GRAIN-       CCO          H            GRAIN0                      3.14E-10  4.10E+01  2.00E-01  23
 7794 C2HX+        GRAIN-       CCX          H            GRAIN0                      3.14E-10  4.10E+01  2.00E-01  23
 7795 C2N2+        GRAIN-       CN           CN           GRAIN0                      3.14E-10  5.20E+01  5.00E-01  23
 7796 C2N2+        GRAIN-       C2N          N            GRAIN0                      3.14E-10  5.20E+01  5.00E-01  23
 7797 C2NH+        GRAIN-       CH           CN           GRAIN0                      3.14E-10  3.90E+01  5.00E-01  23
 7798 C2NH+        GRAIN-       C2N          H            GRAIN0                      3.14E-10  3.90E+01  5.00E-01  23
 7799 C3H+         GRAIN-       C2H          C            GRAIN0                      3.14E-10  3.70E+01  5.00E-01  23
 7800 C3H+         GRAIN-       C3           H            GRAIN0                      3.14E-10  3.70E+01  5.00E-01  23
 7801 C3N+         GRAIN-       C2           CN           GRAIN0                      3.14E-10  5.00E+01  1.00E+00  23
 7802 C3O+         GRAIN-       C2           CO           GRAIN0                      3.14E-10  5.20E+01  1.00E+00  23
 7803 C3X+         GRAIN-       C2           CX           GRAIN0                      3.14E-10  5.20E+01  1.00E+00  23
 7804 C3S+         GRAIN-       C2           CS           GRAIN0                      3.14E-10  6.80E+01  3.33E-01  23
 7805 C3S+         GRAIN-       C2S          C            GRAIN0                      3.14E-10  6.80E+01  3.33E-01  23
 7806 C3S+         GRAIN-       C3           S            GRAIN0                      3.14E-10  6.80E+01  3.33E-01  23
 7807 C4+          GRAIN-       C2           C2           GRAIN0                      3.14E-10  4.80E+01  3.89E-01  23
 7808 C4+          GRAIN-       C3           C            GRAIN0                      3.14E-10  4.80E+01  6.11E-01  23
 7809 CH2Si+       GRAIN-       Si           CH2          GRAIN0                      3.14E-10  4.20E+01  3.64E-01  23
 7810 CH2Si+       GRAIN-       SiC          H2           GRAIN0                      3.14E-10  4.20E+01  3.64E-01  23
 7811 CH2Si+       GRAIN-       HCSi         H            GRAIN0                      3.14E-10  4.20E+01  2.73E-01  23
 7812 CH3+         GRAIN-       H2           C            H            GRAIN0         3.14E-10  1.50E+01  2.31E-01  23
 7813 CH3+         GRAIN-       CH           H            H            GRAIN0         3.14E-10  1.50E+01  1.23E-01  23
 7814 CH3+         GRAIN-       CH           H2           GRAIN0                      3.14E-10  1.50E+01  1.08E-01  23
 7815 CH3+         GRAIN-       CH2          H            GRAIN0                      3.14E-10  1.50E+01  3.08E-01  23
 7816 H2CCl+       GRAIN-       CCl          H            H            GRAIN0         3.14E-10  3.10E+01  1.00E+00  23
 7817 HCNH+        GRAIN-       CN           H            H            GRAIN0         3.14E-10  2.80E+01  1.99E-01  23
 7818 HCNH+        GRAIN-       HCN          H            GRAIN0                      3.14E-10  2.80E+01  4.00E-01  23
 7819 HCNH+        GRAIN-       HNC          H            GRAIN0                      3.14E-10  2.80E+01  4.00E-01  23
 7820 H2CO+        GRAIN-       CO           H            H            GRAIN0         3.14E-10  3.00E+01  5.56E-01  23
 7821 H2CX+        GRAIN-       CX           H            H            GRAIN0         3.14E-10  3.00E+01  5.56E-01  23
 7822 H2CO+        GRAIN-       HCO          H            GRAIN0                      3.14E-10  3.00E+01  1.11E-01  23
 7823 H2CX+        GRAIN-       HCX          H            GRAIN0                      3.14E-10  3.00E+01  1.11E-01  23
 7824 H2CS+        GRAIN-       CS           H            H            GRAIN0         3.14E-10  4.60E+01  4.85E-01  23
 7825 H2CS+        GRAIN-       HCS          H            GRAIN0                      3.14E-10  4.60E+01  4.85E-01  23
 7826 H2NC+        GRAIN-       CN           H2           GRAIN0                      3.14E-10  2.80E+01  9.09E-02  23
 7827 H2NC+        GRAIN-       HNC          H            GRAIN0                      3.14E-10  2.80E+01  9.09E-01  23
 7828 H2NO+        GRAIN-       NO           H2           GRAIN0                      3.14E-10  3.20E+01  5.00E-01  23
 7829 H2NX+        GRAIN-       NX           H2           GRAIN0                      3.14E-10  3.20E+01  5.00E-01  23
 7830 H2NO+        GRAIN-       HNO          H            GRAIN0                      3.14E-10  3.20E+01  5.00E-01  23
 7831 H2NX+        GRAIN-       HNX          H            GRAIN0                      3.14E-10  3.20E+01  5.00E-01  23
 7832 H2PO+        GRAIN-       PH           OH           GRAIN0                      3.14E-10  3.30E+01  5.00E-01  23
 7833 H2PX+        GRAIN-       PH           XH           GRAIN0                      3.14E-10  3.30E+01  5.00E-01  23
 7834 H2PO+        GRAIN-       HPO          H            GRAIN0                      3.14E-10  3.30E+01  5.00E-01  23
 7835 H2PX+        GRAIN-       HPX          H            GRAIN0                      3.14E-10  3.30E+01  5.00E-01  23
 7836 H2S2+        GRAIN-       HS           HS           GRAIN0                      3.14E-10  6.60E+01  5.00E-01  23
 7837 H2S2+        GRAIN-       HS2          H            GRAIN0                      3.14E-10  6.60E+01  5.00E-01  23
 7838 H2SiO+       GRAIN-       SiH          OH           GRAIN0                      3.14E-10  4.60E+01  5.00E-01  23
 7839 H2SiX+       GRAIN-       SiH          XH           GRAIN0                      3.14E-10  4.60E+01  5.00E-01  23
 7840 H2SiO+       GRAIN-       SiO          H2           GRAIN0                      3.14E-10  4.60E+01  5.00E-01  23
 7841 H2SiX+       GRAIN-       SiX          H2           GRAIN0                      3.14E-10  4.60E+01  5.00E-01  23
 7842 H3O+         GRAIN-       OH           H            H            GRAIN0         3.14E-10  1.90E+01  5.97E-01  23
 7843 H3X+         GRAIN-       XH           H            H            GRAIN0         3.14E-10  1.90E+01  5.97E-01  23
 7844 H3O+         GRAIN-       H2O          H            GRAIN0                      3.14E-10  1.90E+01  2.53E-01  23
 7845 H3X+         GRAIN-       H2X          H            GRAIN0                      3.14E-10  1.90E+01  2.53E-01  23
 7846 H3O+         GRAIN-       OH           H2           GRAIN0                      3.14E-10  1.90E+01  1.38E-01  23
 7847 H3X+         GRAIN-       XH           H2           GRAIN0                      3.14E-10  1.90E+01  1.38E-01  23
 7848 H3O+         GRAIN-       H2           H            O            GRAIN0         3.14E-10  1.90E+01  1.29E-02  23
 7849 H3X+         GRAIN-       H2           H            X            GRAIN0         3.14E-10  1.90E+01  1.29E-02  23
 7850 H3S+         GRAIN-       HS           H            H            GRAIN0         3.14E-10  3.50E+01  2.50E-01  23
 7851 H3S+         GRAIN-       H2S          H            GRAIN0                      3.14E-10  3.50E+01  7.50E-01  23
 7852 HC2S+        GRAIN-       CS           CH           GRAIN0                      3.14E-10  5.70E+01  5.00E-01  23
 7853 HC2S+        GRAIN-       C2S          H            GRAIN0                      3.14E-10  5.70E+01  5.00E-01  23
 7854 HCO2+        GRAIN-       CO           H            O            GRAIN0         3.14E-10  4.50E+01  6.81E-01  23
 7855 HCOX+        GRAIN-       CX           H            O            GRAIN0         1.57E-10  4.50E+01  6.81E-01  23
 7856 HCOX+        GRAIN-       CO           H            X            GRAIN0         1.57E-10  4.50E+01  6.81E-01  23
 7857 HCO2+        GRAIN-       OH           CO           GRAIN0                      3.14E-10  4.50E+01  2.69E-01  23
 7858 HCOX+        GRAIN-       XH           CO           GRAIN0                      1.57E-10  4.50E+01  2.69E-01  23
 7859 HCOX+        GRAIN-       OH           CX           GRAIN0                      1.57E-10  4.50E+01  2.69E-01  23
 7860 HCO2+        GRAIN-       CO2          H            GRAIN0                      3.14E-10  4.50E+01  5.04E-02  23
 7861 HCOX+        GRAIN-       COX          H            GRAIN0                      3.14E-10  4.50E+01  5.04E-02  23
 7862 HNCO+        GRAIN-       CO           NH           GRAIN0                      3.14E-10  4.30E+01  1.00E+00  23
 7863 HNCX+        GRAIN-       CX           NH           GRAIN0                      3.14E-10  4.30E+01  1.00E+00  23
 7864 HOCS+        GRAIN-       OH           CS           GRAIN0                      3.14E-10  6.10E+01  5.00E-01  23
 7865 HXCS+        GRAIN-       XH           CS           GRAIN0                      3.14E-10  6.10E+01  5.00E-01  23
 7866 HOCS+        GRAIN-       OCS          H            GRAIN0                      3.14E-10  6.10E+01  5.00E-01  23
 7867 HXCS+        GRAIN-       XCS          H            GRAIN0                      3.14E-10  6.10E+01  5.00E-01  23
 7868 HSiO2+       GRAIN-       SiO          OH           GRAIN0                      3.14E-10  6.10E+01  5.00E-01  23
 7869 HSiOX+       GRAIN-       SiX          OH           GRAIN0                      1.57E-10  6.10E+01  5.00E-01  23
 7870 HSiOX+       GRAIN-       SiO          XH           GRAIN0                      1.57E-10  6.10E+01  5.00E-01  23
 7871 HSiO2+       GRAIN-       SiO2         H            GRAIN0                      3.14E-10  6.10E+01  5.00E-01  23
 7872 HSiOX+       GRAIN-       SiOX         H            GRAIN0                      3.14E-10  6.10E+01  5.00E-01  23
 7873 HSO2+        GRAIN-       SO           H            O            GRAIN0         3.14E-10  6.50E+01  2.50E-01  23
 7874 HSOX+        GRAIN-       SX           H            O            GRAIN0         1.57E-10  6.50E+01  2.50E-01  23
 7875 HSOX+        GRAIN-       SO           H            X            GRAIN0         1.57E-10  6.50E+01  2.50E-01  23
 7876 HSO2+        GRAIN-       SO           OH           GRAIN0                      3.14E-10  6.50E+01  2.50E-01  23
 7877 HSOX+        GRAIN-       SX           OH           GRAIN0                      1.57E-10  6.50E+01  2.50E-01  23
 7878 HSOX+        GRAIN-       SO           XH           GRAIN0                      1.57E-10  6.50E+01  2.50E-01  23
 7879 HSO2+        GRAIN-       SO2          H            GRAIN0                      3.14E-10  6.50E+01  5.00E-01  23
 7880 HSOX+        GRAIN-       SOX          H            GRAIN0                      3.14E-10  6.50E+01  5.00E-01  23
 7881 NaH2O+       GRAIN-       Na           H2O          GRAIN0                      3.14E-10  4.10E+01  5.00E-01  23
 7882 NaH2X+       GRAIN-       Na           H2X          GRAIN0                      3.14E-10  4.10E+01  5.00E-01  23
 7883 NaH2O+       GRAIN-       NaOH         H            GRAIN0                      3.14E-10  4.10E+01  5.00E-01  23
 7884 NaH2X+       GRAIN-       NaXH         H            GRAIN0                      3.14E-10  4.10E+01  5.00E-01  23
 7885 NH3+         GRAIN-       NH           H            H            GRAIN0         3.14E-10  1.70E+01  5.00E-01  23
 7886 NH3+         GRAIN-       NH2          H            GRAIN0                      3.14E-10  1.70E+01  5.00E-01  23
 7887 PC2H+        GRAIN-       CP           CH           GRAIN0                      3.14E-10  4.00E+01  5.00E-01  23
 7888 PC2H+        GRAIN-       CCP          H            GRAIN0                      3.14E-10  4.00E+01  5.00E-01  23
 7889 PCH2+        GRAIN-       CP           H2           GRAIN0                      3.14E-10  2.90E+01  5.00E-01  23
 7890 PCH2+        GRAIN-       HCP          H            GRAIN0                      3.14E-10  2.90E+01  5.00E-01  23
 7891 PH3+         GRAIN-       PH           H2           GRAIN0                      3.14E-10  1.80E+01  5.00E-01  23
 7892 PH3+         GRAIN-       PH2          H            GRAIN0                      3.14E-10  1.80E+01  5.00E-01  23
 7893 PNH2+        GRAIN-       NH2          P            GRAIN0                      3.14E-10  3.10E+01  1.00E+00  23
 7894 SiC2H+       GRAIN-       C2H          Si           GRAIN0                      3.14E-10  5.30E+01  5.00E-01  23
 7895 SiC2H+       GRAIN-       SiC2         H            GRAIN0                      3.14E-10  5.30E+01  5.00E-01  23
 7896 SiC3+        GRAIN-       SiC          C2           GRAIN0                      3.14E-10  6.40E+01  5.00E-01  23
 7897 SiC3+        GRAIN-       SiC2         C            GRAIN0                      3.14E-10  6.40E+01  5.00E-01  23
 7898 SiH3+        GRAIN-       SiH          H2           GRAIN0                      3.14E-10  3.10E+01  5.00E-01  23
